Name,Sex,Age,Team,NOC,Year,Season,City,Sport,Event,Medal
David Aubry,M,24,France,FRA,2020,Summer,Tokyo,Swimming,Men's 400m Freestyle,
David Aubry,M,24,France,FRA,2020,Summer,Tokyo,Swimming,Men's 800m Freestyle,
Patrik Auda,M,31,Czech Republic,CZE,2020,Summer,Tokyo,Basketball,Men,
Manon Audinet,F,29,France,FRA,2020,Summer,Tokyo,Sailing,Mixed Multihull - Nacra 17 Foiling,
Felix Auger-Aliassime,M,21,Canada,CAN,2020,Summer,Tokyo,Tennis,Men's Singles,
Felix Auger-Aliassime,M,21,Canada,CAN,2020,Summer,Tokyo,Tennis,Mixed Doubles,
Rafal Augustyn,M,37,Poland,POL,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
Alberto Orluis Sanabria Aular,M,24,Venezuela,VEN,2020,Summer,Tokyo,Cycling Road,Men's Road Race,
Tyler Austin,M,29,United States of America,USA,2020,Summer,Tokyo,Baseball/Softball,Baseball,Silver
Henrique Avancini,M,32,Brazil,BRA,2020,Summer,Tokyo,Cycling Mountain Bike,Men's Cross-country,
Arina Averina,F,22,ROC,ROC,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,
Dina Averina,F,22,ROC,ROC,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,Silver
Julimar Mancia Avila,F,24,Honduras,HON,2020,Summer,Tokyo,Swimming,Women's 200m Butterfly,
Paola Keyla Ramirez Avila,F,31,Honduras,HON,2020,Summer,Tokyo,Taekwondo,Women +67kg,
David Ceiber Segura Avila,M,32,Colombia,COL,2020,Summer,Tokyo,Boxing,Men's Feather (52-57kg),
Giorgio Avola,M,32,Italy,ITA,2020,Summer,Tokyo,Fencing,Men's Foil Team,
Azizulhasni Mohd Awang,M,33,Malaysia,MAS,2020,Summer,Tokyo,Cycling Track,Men's Sprint,
Azizulhasni Mohd Awang,M,33,Malaysia,MAS,2020,Summer,Tokyo,Cycling Track,Men's Keirin,Silver
Prisca Alcaraz Awiti,F,25,Mexico,MEX,2020,Summer,Tokyo,Judo,Women -63 kg,
Viktor Axelsen,M,27,Denmark,DEN,2020,Summer,Tokyo,Badminton,Men's Singles,Gold
Alexandre Ayache,M,38,France,FRA,2020,Summer,Tokyo,Equestrian,Dressage Team,
Alexandre Ayache,M,38,France,FRA,2020,Summer,Tokyo,Equestrian,Dressage Individual,
Derlys Ayala,M,31,Paraguay,PAR,2020,Summer,Tokyo,Athletics,Men's Marathon,
Ahmed Ayash,M,27,Yemen,YEM,2020,Summer,Tokyo,Judo,Men -73 kg,
Naz Akyol Aydemir,F,30,Turkey,TUR,2020,Summer,Tokyo,Volleyball,Women,
Miranda Ayim,F,33,Canada,CAN,2020,Summer,Tokyo,Basketball,Women,
Claire Ayivon,F,24,Togo,TOG,2020,Summer,Tokyo,Rowing,Women's Single Sculls,
Abdessalem Ayouni,M,27,Tunisia,TUN,2020,Summer,Tokyo,Athletics,Men's 800m,
Amado Julian Azaad,M,30,Argentina,ARG,2020,Summer,Tokyo,Beach Volleyball,Men,
Benjamin Azamati-Kwaku,M,23,Ghana,GHA,2020,Summer,Tokyo,Athletics,Men's 100m,
Benjamin Azamati-Kwaku,M,23,Ghana,GHA,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay,
Ned Azemia,M,23,Seychelles,SEY,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
Carolina Ana Azevedo,F,23,Brazil,BRA,2020,Summer,Tokyo,Athletics,Women's 200m,
Carolina Ana Azevedo,F,23,Brazil,BRA,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay,
Catia Azevedo,F,27,Portugal,POR,2020,Summer,Tokyo,Athletics,Women's 400m,
Joao Azevedo,M,37,Portugal,POR,2020,Summer,Tokyo,Shooting,Trap Men,
Nurkanat Azhikanov,M,20,Kazakhstan,KAZ,2020,Summer,Tokyo,Karate,Men's Kumite -75kg,
Atabek Azisbekov,M,25,Kyrgyzstan,KGZ,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 87kg,
Farida Azizova,F,26,Azerbaijan,AZE,2020,Summer,Tokyo,Taekwondo,Women -67kg,
Nora Azmy,F,21,Egypt,EGY,2020,Summer,Tokyo,Artistic Swimming,Team,
Domenica Azuero,F,25,Ecuador,ECU,2020,Summer,Tokyo,Cycling BMX Racing,Women,
Rio Azuma,F,23,Japan,JPN,2020,Summer,Tokyo,Fencing,Women's Foil Individual,
Rio Azuma,F,23,Japan,JPN,2020,Summer,Tokyo,Fencing,Women's Foil Team,
Sera Azuma,F,21,Japan,JPN,2020,Summer,Tokyo,Fencing,Women's Foil Individual,
Sera Azuma,F,21,Japan,JPN,2020,Summer,Tokyo,Fencing,Women's Foil Team,
Clara Azurmendi,F,23,Spain,ESP,2020,Summer,Tokyo,Badminton,Women's Singles,
Praneeth Sai B.,M,28,India,IND,2020,Summer,Tokyo,Badminton,Men's Singles,
Houleye Ba,F,29,Mauritania,MTN,2020,Summer,Tokyo,Athletics,Women's 100m,
