Name,Sex,Age,Team,NOC,Year,Season,City,Sport,Event,Medal
Katrine Aalerud,F,26,Norway,NOR,2020,Summer,Tokyo,Cycling Road,Women's Road Race,
Katrine Aalerud,F,26,Norway,NOR,2020,Summer,Tokyo,Cycling Road,Women's Individual Time Trial,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Team,
Giovanni Abagnale,M,26,Italy,ITA,2020,Summer,Tokyo,Rowing,Men's Pair,
Alberto Abalde,M,25,Spain,ESP,2020,Summer,Tokyo,Basketball,Men,
Tamara Abalde,F,32,Spain,ESP,2020,Summer,Tokyo,Basketball,Women,
Luc Abalo,M,36,France,FRA,2020,Summer,Tokyo,Handball,Men,Gold
Cesar Abaroa,M,24,Chile,CHI,2020,Summer,Tokyo,Rowing,Lightweight Men's Double Sculls,
Abobakr Abass,M,22,Sudan,SUD,2020,Summer,Tokyo,Swimming,Men's 100m Breaststroke,
Vincenzo Abbagnale,M,28,Italy,ITA,2020,Summer,Tokyo,Rowing,Men's Pair,
Hamideh Abbasali,F,31,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Karate,Women's Kumite +61kg,
Islam Abbasov,M,25,Azerbaijan,AZE,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 87kg,
Lois Abbingh,F,28,Netherlands,NED,2020,Summer,Tokyo,Handball,Women,
Emily Abbot,F,24,Australia,AUS,2020,Summer,Tokyo,Rhythmic Gymnastics,Group All-Around,
Monica Abbott,F,36,United States of America,USA,2020,Summer,Tokyo,Baseball/Softball,Softball,Silver
Haydar Abubaker Abdalla,M,24,Qatar,QAT,2020,Summer,Tokyo,Athletics,Men's 800m,
Mohamed Abdalrasool,M,28,Sudan,SUD,2020,Summer,Tokyo,Judo,Men -73 kg,
Radwa Latif Abdel,F,31,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Women,
Radwa Latif Abdel,F,31,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Mixed Team,
Samy Razek Abdel,M,41,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Men,
Samy Razek Abdel,M,41,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Mixed Team,
Mohamed Abdelaal,M,31,Egypt,EGY,2020,Summer,Tokyo,Judo,Men -81 kg,
Ilfat Abdullin,M,23,Kazakhstan,KAZ,2020,Summer,Tokyo,Archery,Men's Individual,
Ilfat Abdullin,M,23,Kazakhstan,KAZ,2020,Summer,Tokyo,Archery,Men's Team,
Mohamed Abdulredha,M,31,Bahrain,BRN,2020,Summer,Tokyo,Handball,Men,
Elnur Abduraimov,M,27,Uzbekistan,UZB,2020,Summer,Tokyo,Boxing,Men's Light (57-63kg),
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,
Bekzod Abdurakhmonov,M,31,Uzbekistan,UZB,2020,Summer,Tokyo,Wrestling,Men's Freestyle 74kg,Bronze
Hifumi Abe,M,23,Japan,JPN,2020,Summer,Tokyo,Judo,Men -66 kg,Gold
Hifumi Abe,M,23,Japan,JPN,2020,Summer,Tokyo,Judo,Mixed Team,Silver
Takatoshi Abe,M,29,Japan,JPN,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
Uta Abe,F,21,Japan,JPN,2020,Summer,Tokyo,Judo,Women -52 kg,Gold
Uta Abe,F,21,Japan,JPN,2020,Summer,Tokyo,Judo,Mixed Team,Silver
Mekides Abebe,F,20,Ethiopia,ETH,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,
Mojtaba Abedini,M,36,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Fencing,Men's Sabre Individual,
Mojtaba Abedini,M,36,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Fencing,Men's Sabre Team,
Jennifer Abel,F,29,Canada,CAN,2020,Summer,Tokyo,Diving,Women's 3m Springboard,
Jennifer Abel,F,29,Canada,CAN,2020,Summer,Tokyo,Diving,Women's Synchronised 3m Springboard,Silver
Matthew Abela,M,22,Malta,MLT,2020,Summer,Tokyo,Badminton,Men's Singles,
Magnus Roed Abelvik,M,24,Norway,NOR,2020,Summer,Tokyo,Handball,Men,
Matthew Abeysinghe,M,25,Sri Lanka,SRI,2020,Summer,Tokyo,Swimming,Men's 100m Freestyle,
Pablo Abian,M,36,Spain,ESP,2020,Summer,Tokyo,Badminton,Men's Singles,
Mohammed Abicha,M,41,Morocco,MAR,2020,Summer,Tokyo,Beach Volleyball,Men,
Lorena Abicht,F,27,Austria,AUT,2020,Summer,Tokyo,Sailing,Women's Skiff - 49er FX,
Abidine Abidine,M,28,Mauritania,MTN,2020,Summer,Tokyo,Athletics,Men's 5000m,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,Silver
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Team,Gold
Abner,M,21,Brazil,BRA,2020,Summer,Tokyo,Football,Men,Gold
Hadel Aboud,F,21,Libya,LBA,2020,Summer,Tokyo,Athletics,Women's 100m,
Alaaeldin Abouelkassem,M,30,Egypt,EGY,2020,Summer,Tokyo,Fencing,Men's Foil Individual,
Alaaeldin Abouelkassem,M,30,Egypt,EGY,2020,Summer,Tokyo,Fencing,Men's Foil Team,
Genzel Nancy Abouke,F,18,Nauru,NRU,2020,Summer,Tokyo,Weightlifting,Women's 76kg,
Tadesse Abraham,M,38,Switzerland,SUI,2020,Summer,Tokyo,Athletics,Men's Marathon,
John Rusten Abrahams,M,23,South Africa,RSA,2020,Summer,Tokyo,Hockey,Men,
Aliyah Abrams,F,24,Guyana,GUY,2020,Summer,Tokyo,Athletics,Women's 400m,
Jasmine Abrams,F,27,Guyana,GUY,2020,Summer,Tokyo,Athletics,Women's 100m,
Benik Abramyan,M,36,Georgia,GEO,2020,Summer,Tokyo,Athletics,Men's Shot Put,
Diogo Abreu,M,27,Portugal,POR,2020,Summer,Tokyo,Trampoline Gymnastics,Men,
Alex Abrines,M,28,Spain,ESP,2020,Summer,Tokyo,Basketball,Men,
Kirill Abrosimov,M,29,ROC,ROC,2020,Summer,Tokyo,Marathon Swimming,Men's 10km,
Asma Rabee Abu,F,29,Jordan,JOR,2020,Summer,Tokyo,Shooting,10m Air Pistol Women,
Wesam Rmilah Abu,M,25,Palestine,PLE,2020,Summer,Tokyo,Judo,Men -81 kg,
Joshua Abuaku,M,25,Germany,GER,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
Tala Abujbara,F,29,Qatar,QAT,2020,Summer,Tokyo,Rowing,Women's Single Sculls,
Domenico Acerenza,M,26,Italy,ITA,2020,Summer,Tokyo,Swimming,Men's 1500m Freestyle,
Vladimir Aceti,M,22,Italy,ITA,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay,
Vladimir Aceti,M,22,Italy,ITA,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
Javier Acevedo,M,23,Canada,CAN,2020,Summer,Tokyo,Swimming,Mixed 4 x 100m Medley Relay,
Jaouad Achab,M,28,Belgium,BEL,2020,Summer,Tokyo,Taekwondo,Men -68kg,
Kamal Achanta,M,39,India,IND,2020,Summer,Tokyo,Table Tennis,Men's Singles,
Kamal Achanta,M,39,India,IND,2020,Summer,Tokyo,Table Tennis,Mixed Doubles,
Ragnar Ache,M,23,Germany,GER,2020,Summer,Tokyo,Football,Men,
Georgios Achilleos,M,40,Cyprus,CYP,2020,Summer,Tokyo,Shooting,Skeet Men,
Precious Achiuwa,M,21,Nigeria,NGR,2020,Summer,Tokyo,Basketball,Men,
Natalie Achonwa,F,28,Canada,CAN,2020,Summer,Tokyo,Basketball,Women,
Haikel Achouri,M,36,Tunisia,TUN,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 97kg,
Nikola Acin,M,21,Serbia,SRB,2020,Summer,Tokyo,Swimming,Men's 4 x 100m Freestyle Relay,
Simone Ackermann,F,31,South Africa,RSA,2020,Summer,Tokyo,Triathlon,Women's Individual,
Briseida Acosta,F,27,Mexico,MEX,2020,Summer,Tokyo,Taekwondo,Women +67kg,
Yasmani Fernandez Acosta,M,33,Chile,CHI,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 130kg,
Valentina Giraldo Acosta,F,21,Colombia,COL,2020,Summer,Tokyo,Archery,Women's Individual,
Valentina Giraldo Acosta,F,21,Colombia,COL,2020,Summer,Tokyo,Archery,Mixed Team,
Marcelo Acosta,M,25,El Salvador,ESA,2020,Summer,Tokyo,Swimming,Men's 800m Freestyle,
Marcelo Acosta,M,25,El Salvador,ESA,2020,Summer,Tokyo,Swimming,Men's 1500m Freestyle,
Yenny Acuna,F,24,Chile,CHI,2020,Summer,Tokyo,Football,Women,
Kazuya Adachi,M,30,Japan,JPN,2020,Summer,Tokyo,Canoe Slalom,Men's Kayak,
Seiya Adachi,M,26,Japan,JPN,2020,Summer,Tokyo,Water Polo,Men,
Amal Adam,F,39,Egypt,EGY,2020,Summer,Tokyo,Archery,Women's Individual,
Amal Adam,F,39,Egypt,EGY,2020,Summer,Tokyo,Archery,Mixed Team,
Constantin Adam,M,25,Romania,ROU,2020,Summer,Tokyo,Rowing,Men's Eight,
Klaudia Adamek,F,22,Poland,POL,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay,
Patrycja Adamkiewicz,F,23,Poland,POL,2020,Summer,Tokyo,Taekwondo,Women -57kg,
Liam Adams,M,34,Australia,AUS,2020,Summer,Tokyo,Athletics,Men's Marathon,
Paul Adams,M,29,Australia,AUS,2020,Summer,Tokyo,Shooting,Skeet Men,
Taeyanna Adams,F,19,Federated States of Micronesia,FSM,2020,Summer,Tokyo,Swimming,Women's 100m Breaststroke,
Valerie Adams,F,36,New Zealand,NZL,2020,Summer,Tokyo,Athletics,Women's Shot Put,Bronze
Stefan Bartlomiej Adamus,M,21,Poland,POL,2020,Summer,Tokyo,Weightlifting,Men's 96kg,
Yasemin Adar,F,29,Turkey,TUR,2020,Summer,Tokyo,Wrestling,Women's Freestyle 76kg,Bronze
Bam Adebayo,M,24,United States of America,USA,2020,Summer,Tokyo,Basketball,Men,Gold
Enoch Adegoke,M,21,Nigeria,NGR,2020,Summer,Tokyo,Athletics,Men's 100m,
Folasade Odunayo Adekuoroye,F,27,Nigeria,NGR,2020,Summer,Tokyo,Wrestling,Women's Freestyle 57kg,
Ibrahim Adel,M,20,Egypt,EGY,2020,Summer,Tokyo,Football,Men,
Oluwafunmilayo Aminat Adeniyi,F,28,Nigeria,NGR,2020,Summer,Tokyo,Wrestling,Women's Freestyle 62kg,
Ajoke Dorcas Adesokan,F,23,Nigeria,NGR,2020,Summer,Tokyo,Badminton,Women's Singles,
Alina Adilkhanova,F,19,Kazakhstan,KAZ,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,
Jonna Adlerteg,F,26,Sweden,SWE,2020,Summer,Tokyo,Artistic Gymnastics,Women's Uneven Bars,
Sarah Adlington,F,35,Great Britain,GBR,2020,Summer,Tokyo,Judo,Women +78 kg,
Pauline Ado,F,30,France,FRA,2020,Summer,Tokyo,Surfing,Women,
Balazs Adolf,M,21,Hungary,HUN,2020,Summer,Tokyo,Canoe Sprint,Men's Canoe Single 1000m,
Balazs Adolf,M,21,Hungary,HUN,2020,Summer,Tokyo,Canoe Sprint,Men's Canoe Double 1000m,
Aurimas Adomavicius,M,27,Lithuania,LTU,2020,Summer,Tokyo,Rowing,Men's Double Sculls,
Yanara Aedo,F,28,Chile,CHI,2020,Summer,Tokyo,Football,Women,
Violaine Aernoudts,F,21,France,FRA,2020,Summer,Tokyo,Rowing,Women's Quadruple Sculls,
Brian Afanador,M,24,Puerto Rico,PUR,2020,Summer,Tokyo,Table Tennis,Men's Singles,
Paixao Afonso,M,30,Angola,ANG,2020,Summer,Tokyo,Sailing,Men's Two Person Dinghy - 470,
Salome Afonso,F,23,Portugal,POR,2020,Summer,Tokyo,Athletics,Women's 1500m,
Anthony Gilles Afoumba,M,25,Congo,CGO,2020,Summer,Tokyo,Athletics,Men's 400m,
Natalia Afremova,F,22,ROC,ROC,2020,Summer,Tokyo,Cycling BMX Racing,Women,
Charlotte Afriat,F,18,Monaco,MON,2020,Summer,Tokyo,Athletics,Women's 100m,
Caleb Agada,M,26,Nigeria,NGR,2020,Summer,Tokyo,Basketball,Men,
Alphonsine Agahozo,F,23,Rwanda,RWA,2020,Summer,Tokyo,Swimming,Women's 50m Freestyle,
Terrence Agard,M,31,Netherlands,NED,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay,Silver
Yuto Agarie,M,28,Japan,JPN,2020,Summer,Tokyo,Handball,Men,
Haruka Agatsuma,F,26,Japan,JPN,2020,Summer,Tokyo,Baseball/Softball,Softball,Gold
Clarisse Agbegnenou,F,28,France,FRA,2020,Summer,Tokyo,Judo,Women -63 kg,Gold
Clarisse Agbegnenou,F,28,France,FRA,2020,Summer,Tokyo,Judo,Mixed Team,Gold
Eden Agero,M,30,Kenya,KEN,2020,Summer,Tokyo,Rugby Sevens,Men,
Mikael Aggefors,M,36,Sweden,SWE,2020,Summer,Tokyo,Handball,Men,
Soraya Aghaeihajiagha,F,25,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Badminton,Women's Singles,
Zohra Aghamirova,F,20,Azerbaijan,AZE,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,
Ali Aghamirzaeijenaghrad,M,28,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Canoe Sprint,Men's Kayak Single 1000m,
Levon Aghasyan,M,26,Armenia,ARM,2020,Summer,Tokyo,Athletics,Men's Triple Jump,
Rafael Aghayev,M,36,Azerbaijan,AZE,2020,Summer,Tokyo,Karate,Men's Kumite -75kg,Silver
Ekerekeme Agiomor,M,26,Nigeria,NGR,2020,Summer,Tokyo,Wrestling,Men's Freestyle 86kg,
Alexandra Agiurgiuculese,F,20,Italy,ITA,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,
Yavuz Agrali,M,29,Turkey,TUR,2020,Summer,Tokyo,Athletics,Men's Marathon,
Omar Agrebi,M,28,Tunisia,TUN,2020,Summer,Tokyo,Volleyball,Men,
Andrea Agrusti,M,25,Italy,ITA,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
Mayra Aguiar,F,30,Brazil,BRA,2020,Summer,Tokyo,Judo,Women -78 kg,Bronze
Mayra Aguiar,F,30,Brazil,BRA,2020,Summer,Tokyo,Judo,Mixed Team,
Ali Aguilar,F,25,United States of America,USA,2020,Summer,Tokyo,Baseball/Softball,Softball,Silver
Andres Aguilar,M,24,Chile,CHI,2020,Summer,Tokyo,Archery,Men's Individual,
Jazmin Evelis Aguilar,F,28,Colombia,COL,2020,Summer,Tokyo,Athletics,Women's Heptathlon,
Julen Aquizu Aguinagalde,M,38,Spain,ESP,2020,Summer,Tokyo,Handball,Men,Bronze
Eduardo Aguirre,M,23,Mexico,MEX,2020,Summer,Tokyo,Football,Men,Bronze
Erick Aguirre,M,24,Mexico,MEX,2020,Summer,Tokyo,Football,Men,Bronze
Unai Aguirre,M,19,Spain,ESP,2020,Summer,Tokyo,Water Polo,Men,
Gabriela Garcia Agundez,F,21,Mexico,MEX,2020,Summer,Tokyo,Diving,Women's 10m Platform,
Gabriela Garcia Agundez,F,21,Mexico,MEX,2020,Summer,Tokyo,Diving,Women's Synchronised 10m Platform,Bronze
Faustino Marion Tong Ah,M,21,Samoa,SAM,2020,Summer,Tokyo,Boxing,Men's Welter (63-69kg),
Isa Muhammad Ahmad,M,23,Brunei Darussalam,BRU,2020,Summer,Tokyo,Swimming,Men's 100m Breaststroke,
Aiman Ahmed,M,20,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Essa Abdulla Yusuf Ali Ahmed,M,18,Bahrain,BRN,2020,Summer,Tokyo,Swimming,Men's 100m Butterfly,
Enas Ahmed,F,32,Egypt,EGY,2020,Summer,Tokyo,Wrestling,Women's Freestyle 68kg,
Junayna Ahmed,F,18,Bangladesh,BAN,2020,Summer,Tokyo,Swimming,Women's 50m Freestyle,
Mohamed Ahmed,M,28,Bahrain,BRN,2020,Summer,Tokyo,Handball,Men,
Mohammed Ahmed,M,30,Canada,CAN,2020,Summer,Tokyo,Athletics,Men's 5000m,Silver
Mohammed Ahmed,M,30,Canada,CAN,2020,Summer,Tokyo,Athletics,"Men's 10,000m",
Samaa Ahmed,F,23,Egypt,EGY,2020,Summer,Tokyo,Canoe Sprint,Women's Kayak Single 200m,
Samaa Ahmed,F,23,Egypt,EGY,2020,Summer,Tokyo,Canoe Sprint,Women's Kayak Single 500m,
Joonsoo Ahn,M,23,Republic of Korea,KOR,2020,Summer,Tokyo,Football,Men,
Odile Ahouanwanou,F,30,Benin,BEN,2020,Summer,Tokyo,Athletics,Women's Heptathlon,
Murielle Ahoure,F,33,Côte d'Ivoire,CIV,2020,Summer,Tokyo,Athletics,Women's 100m,
Mohammad Ahsan,M,33,Indonesia,INA,2020,Summer,Tokyo,Badminton,Men's Doubles,
Nicole Ahsinger,F,23,United States of America,USA,2020,Summer,Tokyo,Trampoline Gymnastics,Women,
Michelle-Lee Ahye,F,29,Trinidad and Tobago,TTO,2020,Summer,Tokyo,Athletics,Women's 100m,
Michelle-Lee Ahye,F,29,Trinidad and Tobago,TTO,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay,
Yanhan Ai,F,19,People's Republic of China,CHN,2020,Summer,Tokyo,Swimming,Women's 4 x 100m Freestyle Relay,
Matteo Aicardi,M,35,Italy,ITA,2020,Summer,Tokyo,Water Polo,Men,
Vlad Aicoboae,M,27,Romania,ROU,2020,Summer,Tokyo,Rowing,Men's Eight,
Hannes Aigner,M,32,Germany,GER,2020,Summer,Tokyo,Canoe Slalom,Men's Kayak,Bronze
Adriana Ailincai,F,22,Romania,ROU,2020,Summer,Tokyo,Rowing,Women's Pair,
Steven Aimable,M,22,Senegal,SEN,2020,Summer,Tokyo,Swimming,Men's 100m Butterfly,
Mirambek Ainagulov,M,27,Kazakhstan,KAZ,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 60kg,
Marian Aioani,M,21,Romania,ROU,2020,Summer,Tokyo,Football,Men,
Cantika Windy Aisah,F,19,Indonesia,INA,2020,Summer,Tokyo,Weightlifting,Women's 49kg,Bronze
Kamel Daoud Ait,M,36,Algeria,ALG,2020,Summer,Tokyo,Rowing,Lightweight Men's Double Sculls,
Zied Ouagram Ait,M,32,Morocco,MAR,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 77kg,
Samir Said Ait,M,31,France,FRA,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Holly Aitchison,F,23,Great Britain,GBR,2020,Summer,Tokyo,Rugby Sevens,Women,
Akira Aizawa,M,24,Japan,JPN,2020,Summer,Tokyo,Athletics,"Men's 10,000m",
Bolade Ajomale,M,25,Canada,CAN,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay,
Himawari Akaho,F,22,Japan,JPN,2020,Summer,Tokyo,Basketball,Women,Silver
Taha Akgul,M,30,Turkey,TUR,2020,Summer,Tokyo,Wrestling,Men's Freestyle 125kg,Bronze
Omer Akgun,M,39,Turkey,TUR,2020,Summer,Tokyo,Shooting,10m Air Rifle Men,
Omer Akgun,M,39,Turkey,TUR,2020,Summer,Tokyo,Shooting,50m Rifle 3 Positions Men,
Liliia Akhaimova,F,24,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Women's All-Around,
Liliia Akhaimova,F,24,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Women's Vault,
Liliia Akhaimova,F,24,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Women's Uneven Bars,
Liliia Akhaimova,F,24,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Women's Balance Beam,
Liliia Akhaimova,F,24,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Women's Floor Exercise,
Liliia Akhaimova,F,24,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Women's Team,Gold
Ildar Akhmadiev,M,21,Tajikistan,TJK,2020,Summer,Tokyo,Athletics,Men's 100m,
Tatyana Akhmetova,F,35,Kazakhstan,KAZ,2020,Summer,Tokyo,Wrestling,Women's Freestyle 53kg,
Khalil Muhammad Akhtar,M,37,Pakistan,PAK,2020,Summer,Tokyo,Shooting,25m Rapid Fire Pistol Men,
Mikhail Akimenko,M,25,ROC,ROC,2020,Summer,Tokyo,Athletics,Men's High Jump,
Foluke Akinradewo,F,33,United States of America,USA,2020,Summer,Tokyo,Volleyball,Women,Gold
Elizabeth Akinyi,F,27,Kenya,KEN,2020,Summer,Tokyo,Boxing,Women's Welter (64-69kg),
Mihrac Akkus,M,21,Turkey,TUR,2020,Summer,Tokyo,Judo,Men -60 kg,
Nurul Akmal,F,28,Indonesia,INA,2020,Summer,Tokyo,Weightlifting,Women's +87kg,
Ernazar Akmataliev,M,23,Kyrgyzstan,KGZ,2020,Summer,Tokyo,Wrestling,Men's Freestyle 65kg,
Roberts Akmens,M,25,Latvia,LAT,2020,Summer,Tokyo,Canoe Sprint,Men's Kayak Single 200m,
Sebnem Simge Akoz,F,30,Turkey,TUR,2020,Summer,Tokyo,Volleyball,Women,
Ugur Aktas,M,25,Turkey,TUR,2020,Summer,Tokyo,Karate,Men's Kumite +75kg,Bronze
Hamed Samir Issa Adawi Al,M,22,Oman,OMA,2020,Summer,Tokyo,Swimming,Men's 100m Freestyle,
Ali Ahrach Al,M,37,Morocco,MAR,2020,Summer,Tokyo,Equestrian,Jumping Team,
Ali Ahrach Al,M,37,Morocco,MAR,2020,Summer,Tokyo,Equestrian,Jumping Individual,
Mazoon Alawi Al,F,23,Oman,OMA,2020,Summer,Tokyo,Athletics,Women's 100m,
Yazan Bawwab Al,M,21,Palestine,PLE,2020,Summer,Tokyo,Swimming,Men's 100m Freestyle,
Abdulrahman Faihan Al,M,35,Kuwait,KUW,2020,Summer,Tokyo,Shooting,Trap Men,
Barakat Harthi Al,M,33,Oman,OMA,2020,Summer,Tokyo,Athletics,Men's 100m,
Mohammed Khafaji Al,M,27,Iraq,IRQ,2020,Summer,Tokyo,Rowing,Men's Single Sculls,
Hamed Khatri Al,M,36,Oman,OMA,2020,Summer,Tokyo,Shooting,50m Rifle 3 Positions Men,
Obaid Bashair Manwari Al,F,24,Qatar,QAT,2020,Summer,Tokyo,Athletics,Women's 100m,
Aker Obaidi Al,M,21,Refugee Olympic Team,EOR,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 67kg,
Mansour Rashedi Al,M,36,Kuwait,KUW,2020,Summer,Tokyo,Shooting,Skeet Men,
Mohammed Rumaihi Al,M,32,Qatar,QAT,2020,Summer,Tokyo,Shooting,Trap Men,
Ahmed Yaari Al,M,21,Yemen,YEM,2020,Summer,Tokyo,Athletics,Men's 400m,
Moutan Mazen Yassin Al,M,25,Saudi Arabia,KSA,2020,Summer,Tokyo,Athletics,Men's 400m,
Sakhil Alakhverdovi,M,22,Georgia,GEO,2020,Summer,Tokyo,Boxing,Men's Fly (48-52kg),
Haimro Alame,M,31,Israel,ISR,2020,Summer,Tokyo,Athletics,Men's Marathon,
Nima Alamian,M,28,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Table Tennis,Men's Singles,
Abdulelah Alamri,M,24,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Elissa Alarie,F,35,Canada,CAN,2020,Summer,Tokyo,Rugby Sevens,Women,
Fernando Alarza,M,30,Spain,ESP,2020,Summer,Tokyo,Triathlon,Men's Individual,
Fernando Alarza,M,30,Spain,ESP,2020,Summer,Tokyo,Triathlon,Mixed Relay,
Yunier Rafael Castillo Alba,M,27,Cuba,CUB,2020,Summer,Tokyo,Taekwondo,Men +80kg,Bronze
Matias Albarracin,M,41,Argentina,ARG,2020,Summer,Tokyo,Equestrian,Jumping Team,
Matias Albarracin,M,41,Argentina,ARG,2020,Summer,Tokyo,Equestrian,Jumping Individual,
Zaid Albawardi,M,24,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Vedat Albayrak,M,28,Turkey,TUR,2020,Summer,Tokyo,Judo,Men -81 kg,
Felice Albers,F,21,Netherlands,NED,2020,Summer,Tokyo,Hockey,Women,Gold
Agustina Albertarrio,F,28,Argentina,ARG,2020,Summer,Tokyo,Hockey,Women,Silver
Andrew Albicy,M,31,France,FRA,2020,Summer,Tokyo,Basketball,Men,Silver
Samuel Albrecht,M,39,Brazil,BRA,2020,Summer,Tokyo,Sailing,Mixed Multihull - Nacra 17 Foiling,
Feras Albrikan,M,21,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Amin Albukhari,M,24,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Yasmeen Aldabbagh,F,23,Saudi Arabia,KSA,2020,Summer,Tokyo,Athletics,Women's 100m,
Sanda Aldass,F,31,Refugee Olympic Team,EOR,2020,Summer,Tokyo,Judo,Women -57 kg,
Sanda Aldass,F,31,Refugee Olympic Team,EOR,2020,Summer,Tokyo,Judo,Mixed Team,
Khalifah Aldawsari,M,22,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Salem Aldawsari,M,29,Saudi Arabia,KSA,2020,Summer,Tokyo,Football,Men,
Olympia Aldersey,F,29,Australia,AUS,2020,Summer,Tokyo,Rowing,Women's Eight,
